mine_id,state,mine_type,coal_type,mine_age_years,production_utilization_pct,production_change_pct,inspection_count_30d,days_since_last_inspection,missed_inspection_count,inspection_completion_rate,observation_count_30d,critical_observation_count,major_observation_count,total_violation_count_30d,total_violation_count_90d,open_violation_count,overdue_violation_count,high_severity_violation_count,critical_violation_count,repeat_violation_count,violation_growth_rate,total_action_count,overdue_action_count,average_action_delay_days,action_completion_rate,action_on_time_rate,verification_pending_count,incident_count_30d,incident_count_90d,fatality_count_90d,injury_count_90d,serious_incident_count,incident_growth_rate,environmental_anomaly_count,environmental_threshold_breach_count,environmental_breach_rate,days_since_last_incident,days_since_last_violation,compliance_rate,overdue_compliance_rate,critical_compliance_gap,zone_violation_count,repeat_violation_neighbor_count,neighbor_zone_risk,contractor_compliance_score,high_risk_contractor_count
IND_MINE_0027,Jharkhand,Opencast,Coking Coal,74,83.02,-14.36,4,0,1,92.49,11,1,0,10,23,14,10,3,1,5,12.89,35,13,10.55,77.14,60.64,1,0,1,0,2,1,-8.96,6,5,83.33,224,107,72.63,27.99,0,16,7,6.42,82.2,5
IND_MINE_0028,Jharkhand,Mixed,Anthracite,60,72.96,-2.37,5,70,2,84.46,7,1,0,6,20,13,9,3,2,6,16.71,22,4,18.52,80.97,79.27,6,1,1,0,2,1,4.34,7,2,28.57,283,42,75.92,32.06,2,14,2,4.05,68.72,5
IND_MINE_0029,Jharkhand,Opencast,Coking Coal,65,66.06,-6.9,3,77,0,88.19,1,0,1,6,24,13,12,1,0,0,6.63,49,22,12.34,74.84,59.45,6,0,4,0,8,2,-16.08,4,2,50.0,307,121,76.76,26.95,0,15,9,1.16,81.02,2
IND_MINE_0030,Jharkhand,Mixed,Non-Coking Bituminous,59,90.28,2.33,1,10,1,84.39,11,0,7,6,15,4,0,3,1,4,22.32,30,14,7.21,65.52,55.29,8,0,1,0,2,0,2.56,4,1,25.0,81,144,88.71,12.15,3,0,10,4.16,74.99,4
IND_MINE_0031,Jharkhand,Opencast,Anthracite,36,95.96,1.11,4,46,1,92.89,8,2,6,6,13,1,0,0,0,6,32.59,26,13,22.6,65.0,61.62,4,0,6,0,7,3,-7.16,8,8,100.0,488,312,77.95,29.13,2,14,9,9.24,65.13,2
IND_MINE_0032,Jharkhand,Mixed,Anthracite,12,84.08,7.64,0,57,2,81.79,10,0,1,7,24,23,18,5,0,3,24.72,25,9,33.49,77.15,69.62,3,0,6,0,1,1,17.55,7,3,42.86,448,216,74.05,30.19,4,18,0,9.58,97.41,4
IND_MINE_0033,Jharkhand,Mixed,Anthracite,67,82.9,-10.37,4,6,2,72.02,11,1,3,3,13,2,2,4,1,2,25.32,22,6,4.61,86.2,74.85,5,0,4,0,7,1,5.92,5,2,40.0,270,123,81.52,24.15,10,13,4,3.39,78.22,2
IND_MINE_0034,Jharkhand,Underground,Sub-Bituminous,24,99,17.26,0,30,1,84.31,13,0,1,4,9,7,0,5,0,5,-6.31,28,11,5.62,73.44,64.54,1,2,5,0,7,0,-2.04,1,1,100.0,156,189,94.03,4.01,8,17,1,6.23,77.31,4
IND_MINE_0035,Jharkhand,Underground,Sub-Bituminous,12,90.78,-8.46,1,26,2,73.24,7,0,4,6,24,6,4,5,2,5,16.16,31,0,34.99,96.72,86.52,5,0,3,0,6,0,3.0,2,0,0.0,38,329,83.97,15.46,3,6,9,5.87,82.39,4
IND_MINE_0036,Jharkhand,Opencast,Anthracite,38,83.78,-6.57,5,24,1,81.26,9,1,1,9,25,4,0,1,1,1,27.84,35,4,12.8,86.97,86.46,7,0,5,0,5,2,-0.52,4,1,25.0,239,286,77.93,19.37,2,8,1,7.06,53.05,2
IND_MINE_0037,Jharkhand,Underground,Coking Coal,12,81.15,2.66,1,8,0,92.23,3,1,2,4,12,3,2,1,0,2,13.12,28,0,33.54,99.26,97.77,3,1,6,0,1,2,-15.79,8,3,37.5,472,22,78.26,24.56,6,9,6,7.63,66.04,1
IND_MINE_0038,Jharkhand,Mixed,Non-Coking Bituminous,46,99,-4.43,5,8,2,81.78,18,0,6,7,13,3,3,4,1,1,-15.34,19,6,1.2,71.47,67.6,5,0,5,0,6,3,4.89,1,1,100.0,194,134,83.37,17.02,4,16,5,3.02,87.41,4
IND_MINE_0039,Jharkhand,Underground,Sub-Bituminous,61,70.77,11.21,1,58,0,91.56,18,0,7,1,8,0,0,1,1,4,-7.21,15,5,9.86,83.19,76.81,11,0,6,0,6,0,-7.12,6,0,0.0,54,85,89.74,18.03,1,4,0,7.59,81.02,3
IND_MINE_0040,Jharkhand,Opencast,Coking Coal,36,82.05,-3.97,0,75,2,74.1,16,1,4,8,13,1,1,0,0,4,23.42,14,5,19.81,72.53,57.42,4,0,5,0,5,2,24.7,4,3,75.0,440,27,72.5,28.94,10,17,3,2.78,59.11,5
IND_MINE_0041,Jharkhand,Opencast,Coking Coal,35,79.48,8.19,3,59,2,72.26,7,0,0,10,20,6,2,6,2,1,-0.37,45,18,6.75,70.64,64.46,1,1,3,0,0,2,-16.23,2,1,50.0,271,252,75.4,27.45,10,13,4,7.66,88.98,0
IND_MINE_0042,Jharkhand,Mixed,Sub-Bituminous,26,97.99,-0.31,3,75,0,94.39,15,0,7,8,14,13,3,2,2,6,-14.53,18,2,28.56,80.11,68.49,12,0,4,0,6,1,23.44,2,2,100.0,490,316,75.23,28.35,1,18,3,7.1,74.96,2
IND_MINE_0043,Jharkhand,Opencast,Coking Coal,9,81.26,-1.15,4,58,0,91.15,5,1,0,4,16,0,0,5,1,1,27.61,35,14,13.41,78.13,61.13,7,0,3,0,3,1,18.81,8,5,62.5,721,330,83.79,18.99,4,1,8,6.2,75.92,1
IND_MINE_0044,Jharkhand,Underground,Sub-Bituminous,37,89.31,-5.97,2,50,0,91.77,2,0,2,7,15,1,0,5,0,7,15.79,28,1,1.82,94.68,93.91,5,1,6,0,3,3,11.92,0,0,0,181,41,81.9,24.08,7,19,8,4.82,83.38,4
IND_MINE_0045,Jharkhand,Opencast,Anthracite,66,90.84,6.57,5,41,0,90.95,5,0,3,0,11,6,2,0,0,1,-6.9,23,9,12.59,78.58,70.01,3,0,6,1,5,1,31.53,2,2,100.0,215,61,88.77,12.1,6,19,2,9.47,73.93,0
IND_MINE_0046,Jharkhand,Opencast,Anthracite,8,66.58,24.25,5,18,2,83.98,9,0,1,10,17,1,1,5,0,2,17.82,36,17,16.35,74.83,70.58,0,3,9,0,0,0,34.27,8,1,12.5,485,56,77.34,27.8,8,18,4,5.59,72.71,4
IND_MINE_0047,Jharkhand,Mixed,Anthracite,50,76.81,-2.69,4,41,0,92.59,9,0,0,12,23,9,7,5,2,7,-6.15,28,14,22.53,68.28,56.52,0,3,8,0,1,3,-2.07,0,0,0,33,114,76.15,31.31,10,14,7,6.57,100,4
IND_MINE_0048,Jharkhand,Mixed,Non-Coking Bituminous,73,98.29,12.46,0,26,1,80.83,5,0,5,8,15,6,4,3,1,3,25.86,24,2,30.86,90.98,73.77,3,0,3,0,4,1,-6.06,1,0,0.0,638,145,84.54,17.85,3,20,5,9.3,72.32,5
IND_MINE_0049,Jharkhand,Underground,Sub-Bituminous,28,93.56,9.42,3,18,1,81.09,8,0,8,8,12,7,0,0,0,3,19.42,15,6,23.26,67.54,51.4,2,0,2,0,4,2,24.22,6,3,50.0,720,127,80.34,16.19,4,10,5,8.1,92.97,1
IND_MINE_0050,Jharkhand,Mixed,Non-Coking Bituminous,21,78.12,6.27,5,6,1,87.09,11,0,4,11,18,16,2,0,0,7,34.88,33,10,18.51,80.62,64.09,3,0,2,0,4,2,18.25,2,2,100.0,158,33,79.47,17.22,0,10,8,6.94,79.75,5
IND_MINE_0051,Jharkhand,Mixed,Anthracite,54,88.37,11.02,5,7,1,85.44,5,0,5,1,8,5,2,1,0,1,-5.63,30,6,13.58,76.25,67.97,0,0,3,0,4,3,37.79,7,3,42.86,142,134,90.48,9.08,8,16,9,9.21,81.63,2
IND_MINE_0052,Jharkhand,Opencast,Non-Coking Bituminous,9,92.76,24.71,0,82,2,77.01,9,3,6,9,11,11,2,2,0,5,-19.17,28,9,20.55,84.89,77.63,5,0,1,0,0,1,26.67,7,6,85.71,628,323,62.0,41.86,4,13,10,6.75,71.91,5
IND_MINE_0053,Jharkhand,Underground,Anthracite,13,76.23,-6.71,2,30,1,94.07,6,0,6,12,28,15,10,1,1,1,-3.98,50,9,26.5,79.67,63.52,2,0,5,0,7,3,34.44,2,0,0.0,682,101,65.87,31.06,6,3,2,2.45,72.39,1
IND_MINE_0054,Jharkhand,Opencast,Anthracite,27,79.64,-7.81,2,18,1,84.76,13,1,3,4,21,4,1,6,0,7,-12.59,36,14,3.76,71.2,70.6,11,0,6,0,4,3,1.63,3,1,33.33,213,287,78.81,28.74,0,9,7,5.49,69.88,2
IND_MINE_0055,Jharkhand,Mixed,Coking Coal,24,96.25,-13.05,1,1,2,83.66,5,1,0,11,19,10,7,3,0,3,-0.63,27,9,31.75,80.36,74.72,12,0,0,0,0,0,-7.67,4,1,25.0,291,360,64.32,43.43,9,8,7,7.06,71.52,2
IND_MINE_0056,Jharkhand,Underground,Non-Coking Bituminous,26,80.94,17.87,3,38,0,95.68,7,0,3,2,9,2,1,6,0,4,-5.15,23,6,34.72,85.33,80.75,2,1,4,0,2,2,24.7,7,5,71.43,657,41,89.73,9.84,1,1,6,6.91,71.53,1
IND_MINE_0057,Jharkhand,Underground,Sub-Bituminous,10,69.41,-9.23,5,4,2,73.35,18,1,2,3,11,8,1,1,1,0,16.27,22,6,16.21,86.32,80.39,7,0,4,0,5,3,24.27,4,1,25.0,563,245,86.29,12.23,2,8,7,4.69,89.91,1
IND_MINE_0058,Jharkhand,Mixed,Non-Coking Bituminous,11,86.19,4.94,2,23,0,87.41,10,0,8,11,13,1,1,0,0,0,29.3,13,0,25.73,91.38,90.72,9,0,0,0,0,0,33.74,1,0,0.0,198,191,74.66,25.98,6,16,4,9.54,91.54,5
IND_MINE_0059,Jharkhand,Opencast,Sub-Bituminous,32,87.91,10.23,3,52,0,82.71,13,0,1,1,19,2,1,6,2,7,14.51,39,14,28.5,75.78,63.25,11,3,8,2,7,0,31.68,1,1,100.0,700,62,90.45,12.43,0,9,8,5.56,58.63,4
IND_MINE_0060,Jharkhand,Underground,Anthracite,24,80.23,7.74,1,0,0,83.98,17,2,0,7,23,7,4,2,2,3,27.73,23,8,29.7,78.42,70.64,10,1,2,0,0,1,-2.89,3,3,100.0,133,116,75.41,24.04,7,8,6,6.45,87.45,5
IND_MINE_0061,Jharkhand,Opencast,Non-Coking Bituminous,38,85.13,-0.77,3,29,2,72.2,9,2,6,11,22,14,5,0,0,5,17.11,39,9,30.51,79.78,78.28,8,0,3,0,6,1,-11.25,1,0,0.0,385,308,70.03,32.4,1,10,10,2.63,88.02,0
IND_MINE_0062,Jharkhand,Opencast,Sub-Bituminous,9,82.9,10.52,1,0,0,85.62,10,0,1,8,19,10,3,0,0,3,14.25,41,8,24.25,79.54,73.01,12,1,6,0,1,0,-4.52,8,7,87.5,417,152,79.59,25.0,6,20,7,3.44,99.66,4
IND_MINE_0063,Jharkhand,Mixed,Coking Coal,28,79.09,-2.68,1,79,2,77.7,3,0,3,4,20,3,1,3,0,3,33.51,36,18,0.44,71.08,67.84,9,0,6,0,3,3,32.29,7,0,0.0,322,168,89.89,16.33,6,5,6,1.87,98.01,4
IND_MINE_0064,Jharkhand,Opencast,Coking Coal,44,87.11,25.21,0,47,1,94.73,15,0,6,8,20,19,15,6,1,5,0.68,43,15,21.01,78.13,63.07,11,3,4,1,7,3,-7.94,4,0,0.0,676,247,75.67,31.62,5,16,3,7.71,72.91,2
IND_MINE_0065,Jharkhand,Opencast,Anthracite,26,92.35,10.72,0,47,2,76.92,18,0,6,9,26,14,9,3,2,2,-10.83,28,0,27.36,99.4,92.94,5,0,0,0,0,0,18.56,0,0,0,498,46,71.28,29.62,1,18,0,6.44,74.05,3
IND_MINE_0066,Jharkhand,Mixed,Sub-Bituminous,40,72.75,5.1,0,89,4,70.21,12,0,1,3,19,15,0,6,0,6,-4.87,19,0,28.71,91.38,80.08,1,0,3,0,3,2,39.26,1,0,0.0,81,102,92.15,15.21,6,9,7,7.55,72.98,5
IND_MINE_0067,Jharkhand,Underground,Coking Coal,32,78.58,-4.13,3,40,2,88.32,15,1,7,5,14,6,2,4,0,2,27.47,17,4,17.07,82.26,71.02,7,2,5,0,0,2,6.6,4,3,75.0,147,33,83.74,20.91,3,3,10,8.33,93.74,5
IND_MINE_0068,Jharkhand,Mixed,Non-Coking Bituminous,74,74.46,-4.34,4,24,1,92.14,10,1,5,13,29,2,0,0,0,6,9.05,47,8,28.46,90.11,85.45,8,0,2,0,4,0,-23.14,0,0,0,540,101,67.62,33.82,7,15,10,8.74,95.45,0
IND_MINE_0069,Jharkhand,Mixed,Anthracite,66,66.11,-2.58,3,38,1,81.23,9,1,2,4,18,3,2,4,0,7,9.61,31,15,16.9,76.6,59.7,6,1,6,0,1,1,-16.37,3,3,100.0,340,236,75.92,24.54,9,0,4,5.86,76.99,2
IND_MINE_0070,Jharkhand,Underground,Coking Coal,20,76.28,2.91,5,44,0,89.27,3,0,3,0,15,4,0,2,0,3,-14.5,28,13,4.74,75.61,60.94,0,0,2,0,4,1,-5.78,2,2,100.0,210,330,93.04,5.87,9,6,8,4.7,80.48,0
IND_MINE_0071,Jharkhand,Opencast,Non-Coking Bituminous,18,68.1,-2.32,3,46,1,90.33,14,1,3,7,22,11,0,4,0,6,-19.73,34,17,30.72,68.01,60.61,8,1,3,0,0,1,17.94,0,0,0,405,14,81.32,24.22,4,9,5,8.85,74.23,4
IND_MINE_0072,Jharkhand,Mixed,Non-Coking Bituminous,46,69.15,5.69,0,18,3,76.32,17,0,7,8,14,12,8,1,0,7,24.38,14,0,30.03,91.86,76.11,10,0,4,0,2,0,-12.17,1,1,100.0,707,94,72.94,25.97,0,12,8,7.73,89.43,1
IND_MINE_0073,Jharkhand,Underground,Non-Coking Bituminous,51,92.08,12.4,1,32,1,86.76,8,2,6,8,12,5,2,5,0,2,32.19,23,0,9.71,98.02,82.96,11,0,3,0,6,3,6.87,4,2,50.0,295,203,66.43,35.17,1,12,9,6.93,87.06,3
IND_MINE_0074,Jharkhand,Underground,Non-Coking Bituminous,39,88.76,6.45,5,71,0,84.33,13,0,1,11,19,15,0,4,1,7,-3.22,44,8,2.86,83.11,65.47,2,0,3,0,1,2,24.81,6,3,50.0,587,351,78.74,27.26,1,1,3,6.68,69.14,2
IND_MINE_0075,Jharkhand,Underground,Sub-Bituminous,45,80.95,9.95,3,37,2,81.45,13,1,7,4,8,7,0,0,0,7,29.48,24,7,31.01,82.17,73.32,2,0,2,0,4,2,-11.24,0,0,0,57,287,87.73,16.54,9,1,0,6.24,94.13,2
IND_MINE_0076,Jharkhand,Underground,Anthracite,45,78.57,14.8,1,68,1,77.77,2,0,2,9,14,11,3,6,1,3,-9.99,22,2,23.04,90.31,81.51,8,1,7,0,0,3,5.37,1,0,0.0,272,240,81.64,25.67,5,4,9,5.52,66.16,3
IND_MINE_0077,Jharkhand,Opencast,Non-Coking Bituminous,32,78.97,2.68,3,1,2,75.11,2,2,0,12,19,1,1,5,1,5,21.0,32,14,22.29,74.99,63.76,11,0,6,0,5,3,2.76,5,4,80.0,213,163,71.68,33.11,0,14,7,2.1,83.62,1
IND_MINE_0078,Jharkhand,Opencast,Sub-Bituminous,72,77.11,10.75,5,43,2,88.7,5,0,5,9,19,18,1,2,2,0,19.19,26,13,29.92,66.07,64.03,7,3,5,0,5,1,36.07,0,0,0,470,246,77.98,18.99,3,11,7,3.03,83.73,4
IND_MINE_0079,Jharkhand,Opencast,Anthracite,26,91.23,-4.1,1,50,1,94.32,17,0,8,9,11,2,0,4,2,4,6.96,16,4,18.46,78.3,75.76,1,0,6,0,7,2,39.36,3,0,0.0,583,175,82.67,23.09,8,8,5,9.64,73.16,5
IND_MINE_0080,Jharkhand,Mixed,Non-Coking Bituminous,16,82.26,-1.45,0,35,1,89.8,15,1,5,8,12,0,0,2,1,1,23.23,18,5,22.41,84.12,73.35,7,0,1,0,2,1,19.03,7,2,28.57,74,178,78.39,18.97,4,11,10,6.04,100,2
IND_MINE_0081,Jharkhand,Opencast,Sub-Bituminous,13,75.92,-2.34,3,47,1,93.08,14,0,1,6,10,1,0,0,0,5,30.85,15,2,17.92,87.87,75.18,1,2,2,0,0,2,19.42,0,0,0,442,42,89.89,6.48,2,16,3,5.44,81.38,5
IND_MINE_0082,Jharkhand,Underground,Coking Coal,57,81.44,6.66,0,23,1,94.24,17,1,2,8,16,5,4,0,0,5,-18.44,19,5,32.37,80.64,77.72,7,0,3,0,5,0,-7.08,6,5,83.33,515,184,80.12,20.81,6,14,10,7.31,76.54,1
IND_MINE_0083,Jharkhand,Opencast,Non-Coking Bituminous,53,93.11,3.02,3,41,2,86.33,17,0,5,5,17,10,8,6,0,3,3.17,35,0,3.86,96.04,81.43,0,0,3,0,6,1,-23.39,8,3,37.5,394,262,83.87,13.11,0,6,6,9.48,72.24,5
IND_MINE_0084,Jharkhand,Mixed,Sub-Bituminous,58,80.63,13.38,2,0,0,90.62,18,0,8,5,7,6,4,3,1,0,8.89,28,6,23.77,86.44,77.18,6,0,4,0,7,0,39.22,2,1,50.0,622,113,81.36,26.4,10,20,9,1.89,68.68,0
IND_MINE_0085,Jharkhand,Underground,Non-Coking Bituminous,49,90.03,7.98,1,69,1,94.88,5,2,3,4,21,5,1,1,1,7,23.45,37,7,3.04,88.22,74.33,4,1,2,0,4,0,-12.84,2,0,0.0,552,56,75.54,31.54,3,14,8,3.2,74.47,2
IND_MINE_0086,Jharkhand,Underground,Sub-Bituminous,48,88.46,-5.99,4,53,2,86.41,6,0,1,4,17,3,1,1,0,0,30.1,41,5,30.1,89.57,87.91,6,2,6,0,8,0,-11.1,4,4,100.0,109,174,82.59,13.26,5,4,0,9.03,89.09,5
IND_MINE_0087,Jharkhand,Mixed,Sub-Bituminous,35,88.7,6.6,4,73,0,88.46,2,0,2,4,21,8,7,5,2,1,1.36,43,2,24.45,84.35,71.38,6,1,7,0,6,0,7.08,8,0,0.0,420,300,84.12,18.95,3,3,0,3.21,98.3,4
IND_MINE_0088,Jharkhand,Mixed,Sub-Bituminous,9,82.57,14.36,2,63,2,82.62,1,1,0,12,19,18,13,6,2,6,4.4,36,11,22.43,76.72,76.63,7,3,9,0,5,3,4.21,3,0,0.0,613,51,60.58,39.61,4,15,0,4.56,94.11,1
IND_MINE_0089,Jharkhand,Mixed,Anthracite,15,85.74,2.78,4,90,1,91.66,2,0,0,1,11,3,0,5,1,2,-4.85,17,8,18.34,71.69,65.72,5,0,4,0,8,1,30.34,0,0,0,109,87,91.15,8.57,4,15,4,6.83,71.54,4
IND_MINE_0090,Jharkhand,Underground,Coking Coal,41,64.18,-1.09,0,53,4,74.54,16,1,1,6,15,9,9,0,0,5,-3.7,23,4,18.33,77.86,64.29,10,4,6,0,4,0,21.55,4,1,25.0,616,79,75.51,21.97,4,15,4,7.11,88.58,0
IND_MINE_0091,Jharkhand,Opencast,Anthracite,72,95.25,-9.88,3,7,2,78.53,16,1,5,13,24,24,8,2,0,6,13.02,32,8,23.55,83.78,75.3,3,1,3,0,2,1,32.1,3,2,66.67,407,39,61.33,34.47,4,2,5,3.52,82.08,4
IND_MINE_0092,Jharkhand,Opencast,Anthracite,38,78.68,6.8,0,80,0,97.1,3,1,2,11,14,5,4,2,0,3,18.73,21,7,17.36,75.28,66.63,3,0,1,0,0,1,7.59,1,0,0.0,498,244,71.43,35.77,0,13,4,1.79,77.14,2
